Arousing / Energizing Groove ,Exciting
Arrogant / Attitude / Defiant,defiant
Bittersweet Pop ,melancholy
Blue / Depressed / Lonely ,melancholy
Casual Jaunty / Funky Groove ,cheerful
Chaos / Pain,distressed
Cheerful / Carefree Pop ,cheerful
Cheerful / Playful / Lighthearted,cheerful
Confident / Tough Party ,powerful
Cool Beats & Loops,exciting
Creepy / Eerie / Ominous ,melancholy
Dark / Cool / Melancholy ,melancholy
Dark / Dreamy / Brooding,calm
Dark Alienated / Brooding ,distressed
Dark Dramatic / Emotional / Thrilling ,exciting
Dark Grim Caution / Suspicion,protective
Dark Groovy / Savvy ,powerful
Dark Hard Beat ,powerful
Dark Intense Pop Determination,powerful
Dark Pop,exciting
Dark Romantic Lively Rhythm,exciting
Dark Sprightly / Playful ,cheerful
Dark Twangy / Strumming ,exciting
Deep Dreamy Relaxing Beat,calm
Determined / Bitter / Serious / Jaded,defiant
Driving Dark Groove,powerful
Edgy / Sexy,exciting
Enchanted / Mysterious / Dreamy ,calm
Energetic / Invigorating / Joyous ,exciting
Energetic Abstract Groove ,exciting
Energetic Anxious / Hurt / Frustrated,distressed
Energetic Hypnotic Rhythm & Vocal ,calm
Energetic Melancholy ,melancholy
Enigmatic / Brooding / Mysterious,calm
Euphoric Energy & Power,exciting
Evocative & Intriguing ,exciting
Exuberant / Festive ,cheerful
Fiery Passionate Rhythm,exciting
Gentle Bittersweet ,calm
Gritty / Earthy / Soulful,dignified
Happy Energetic Excitement ,exciting
Heavy Body Beat ,powerful
Heavy Loud Emo-Brooding ,melancholy
Intimate Nostalgic Bittersweet ,melancholy
Light / Delicate / Gentle / Tranquil ,secure
Light Soft Soulful ,calm
Lite Glossy Sensual Groove ,tender
Lite Groovy / Dreamy / Precious ,protective
Lite Melancholy,melancholy
Loud Celebratory ,exciting
Other ,
Peaceful / Healing / Reverent ,protective
Positive Energetic Abstract Beat,exciting
Positive Loud Strength & Glory ,powerful
Quiet / Introspective,calm
Sensitive Meandering / Exploring,calm
Sentimental ,secure
Serious/ Cerebral / Questioning ,dignified
Showy / Dramatic / Rousing / Lively ,exciting
Smokey Romantic  ,tender
Soft Sensual / Intimate,tender
Somber / Solem / Spiritual ,melancholy
Sophisticated / Lush / Romantic ,dignified
Soulful Easy Beat ,secure
Soulful Jubilant / Joyous Strength,powerful
Sultry / Swank ,tender
Tender Sad / Soulful ,melancholy
Triumphant / Rousing ,powerful
Upbeat Pop Groove ,exciting
Wistful / Melancholy / Forlorn ,melancholy
